route_id,departure_airport,arrival_airport,departure_country,arrival_country,departure_region,arrival_region,is_international,distance_km,avg_flight_time_h,annual_flights_2023,annual_passengers_2023,load_factor_pct,avg_aircraft_age_years,risk_index,incidents_per_mn_flights,route_type
RT00001,HKJK,URSS,Kenya,Russia,Africa,Europe,1,959,1.1,565,73890,83.0,7.7,0.1,0.1598,Short-haul
RT00002,CYVR,UUEE,Canada,Russia,NorthAmerica,Europe,1,1570,1.8,5362,662654,77.9,6.9,0.122,0.2137,Short-haul
RT00003,VVTS,SCVD,Vietnam,Chile,AsiaPacific,LatinAmerica,1,6649,7.8,1010,158372,80.9,1.0,0.271,0.1816,Long-haul
RT00004,SBSV,HTKJ,Brazil,Tanzania,LatinAmerica,Africa,1,6419,7.6,719,119049,88.9,7.8,0.117,0.5618,Long-haul
RT00005,HTKJ,KJFK,Tanzania,USA,Africa,NorthAmerica,1,203,0.2,1321,254151,86.0,9.6,0.204,0.2298,Short-haul
RT00006,SKMR,RPVM,Colombia,Philippines,LatinAmerica,AsiaPacific,1,1066,1.3,645,113272,73.3,6.4,0.16,0.1512,Short-haul
RT00007,SBCF,SKBO,Brazil,Colombia,LatinAmerica,LatinAmerica,1,328,0.4,650,105859,86.1,14.4,0.23,0.036,Short-haul
RT00008,VTCC,LFMN,Thailand,France,AsiaPacific,Europe,1,764,0.9,4526,714303,92.1,9.2,0.1,0.1695,Short-haul
RT00009,LTFM,WMKB,Turkey,Malaysia,Europe,AsiaPacific,1,2059,2.4,2366,311286,88.2,11.5,0.178,0.258,Medium-haul
RT00010,SKMR,VECC,Colombia,India,LatinAmerica,AsiaPacific,1,2236,2.6,12220,1320968,81.2,9.9,0.649,0.2432,Medium-haul
RT00011,RPVM,VIDP,Philippines,India,AsiaPacific,AsiaPacific,1,1476,1.7,10731,1335538,80.7,10.7,0.103,0.1944,Short-haul
RT00012,OMAA,KORD,UAE,USA,MiddleEast,NorthAmerica,1,4405,5.2,2802,469537,75.8,7.3,0.238,0.0945,Medium-haul
RT00013,KSFO,FNBG,USA,Angola,NorthAmerica,Africa,1,2000,2.4,1602,120826,84.3,15.5,0.394,0.2026,Short-haul
RT00014,MMTJ,VVTS,Mexico,Vietnam,NorthAmerica,AsiaPacific,1,505,0.6,840,88929,84.4,16.0,0.176,0.1291,Short-haul
RT00015,OMSJ,GMME,UAE,Morocco,MiddleEast,Africa,1,2217,2.6,384,51712,89.8,5.1,0.112,0.1191,Medium-haul
RT00016,OMAA,ZHHH,UAE,China,MiddleEast,AsiaPacific,1,1557,1.8,565,72475,74.3,9.2,0.33,0.1772,Short-haul
RT00017,UNNT,WSAP,Russia,Singapore,Europe,SoutheastAsia,1,626,0.7,736,97370,88.7,11.2,0.425,0.0743,Short-haul
RT00018,MMGL,WMKB,Mexico,Malaysia,NorthAmerica,AsiaPacific,1,6373,7.5,6392,835880,75.0,7.9,0.288,0.1157,Long-haul
RT00019,VTBS,OPKC,Thailand,Pakistan,AsiaPacific,SouthAsia,1,819,1.0,2894,371241,72.3,7.3,0.171,0.1878,Short-haul
RT00020,LTFM,RJFF,Turkey,Japan,Europe,AsiaPacific,1,1527,1.8,3189,593499,98.0,5.7,0.35,0.1382,Short-haul
RT00021,EDDB,VECC,Germany,India,Europe,AsiaPacific,1,6420,7.6,1361,177358,77.5,8.7,0.1,0.1274,Long-haul
RT00022,RJFF,HEAT,Japan,Egypt,AsiaPacific,Africa,1,1479,1.7,1552,178065,78.8,13.3,1.711,0.1191,Short-haul
RT00023,CYYZ,UNNT,Canada,Russia,NorthAmerica,Europe,1,346,0.4,656,101478,84.6,4.3,0.132,0.1004,Short-haul
RT00024,EDDM,HEAT,Germany,Egypt,Europe,Africa,1,571,0.7,8334,1202242,82.8,15.4,0.252,0.0512,Short-haul
RT00025,LTFM,OPLA,Turkey,Pakistan,Europe,SouthAsia,1,688,0.8,2157,280314,77.2,15.4,0.121,0.1412,Short-haul
RT00026,WMKB,FNLU,Malaysia,Angola,AsiaPacific,Africa,1,522,0.6,1499,245003,70.4,3.2,0.297,0.0822,Short-haul
RT00027,ZSPD,EGPH,China,UK,AsiaPacific,Europe,1,368,0.4,352,32612,81.1,18.5,0.489,0.0605,Short-haul
RT00028,VTBS,OTHH,Thailand,Qatar,AsiaPacific,MiddleEast,1,724,0.9,1140,109473,92.0,8.2,0.104,0.0158,Short-haul
RT00029,OEJN,HKJK,Saudi Arabia,Kenya,MiddleEast,Africa,1,1424,1.7,743,119279,83.2,21.0,0.641,0.0959,Short-haul
RT00030,EDDF,ZGGG,Germany,China,Europe,AsiaPacific,1,200,0.2,170,28483,83.5,7.9,0.371,0.0967,Short-haul
RT00031,WSAP,EGCC,Singapore,UK,SoutheastAsia,Europe,1,1122,1.3,9843,1241325,64.2,13.0,0.32,0.1713,Short-haul
